x,y,signal,noise,bin
6,5,7.506730050000149e-17,5.06314339847057e-18,94
6,6,8.263311233314372e-17,5.035135411079416e-18,80
6,7,9.054559362593944e-17,5.0939370490582266e-18,65
6,8,9.896553785896383e-17,5.183546499162773e-18,49
6,9,1.0852014493615651e-16,5.308148132354152e-18,41
6,10,1.1947072800313215e-16,5.451470084947069e-18,36
6,11,1.2721322090289182e-16,5.541879837793589e-18,32
6,12,1.32953864813701e-16,5.660131394530064e-18,33
6,13,1.3459090415254709e-16,5.692074108558158e-18,37
6,14,1.31044337060913e-16,5.598305714414599e-18,54
6,15,1.25627679040495e-16,5.587461944983042e-18,68
6,16,1.1764653144088361e-16,5.487399612733877e-18,111
6,17,1.0803189932005953e-16,5.357666802859259e-18,223
6,18,9.747693982106508e-17,5.157747011288885e-18,265
6,19,8.917943639111042e-17,4.998009718318975e-18,300
6,20,8.264117275469804e-17,4.901803198490712e-18,339
6,21,7.506760743768455e-17,4.789050743631375e-18,379
6,22,6.893160004433816e-17,4.6831779241160974e-18,439
6,23,6.40963332932716e-17,4.731196301978729e-18,475
6,24,5.913922347362532e-17,4.5740455728617e-18,499
6,25,5.413627930595178e-17,4.445349551592104e-18,509
6,26,5.0499387671214544e-17,4.407404887810159e-18,527
6,27,4.726365209515295e-17,4.452087489960483e-18,552
6,28,4.4637306979341006e-17,4.549475434430872e-18,564
6,29,4.188229233055539e-17,4.697730591347685e-18,575
6,30,3.91895846310815e-17,4.829070450740139e-18,575
6,31,3.72074643421489e-17,4.9448039541602415e-18,588
6,32,3.480068733063489e-17,5.138361353325976e-18,588
7,0,5.367724138863021e-17,5.44768775623697e-18,188
7,1,5.804385698050608e-17,5.292655016740637e-18,154
7,2,6.307899247202698e-17,5.182949912855469e-18,154
7,3,6.834049240483216e-17,5.103087079593907e-18,138
7,4,7.498915361072608e-17,5.083781601921439e-18,125
7,5,8.235245924239764e-17,5.122201353841797e-18,90
7,6,9.122348438834451e-17,5.2236084970696115e-18,73
7,7,1.0252969219199487e-16,5.390163803869277e-18,53
7,8,1.1615918088843485e-16,5.569972330330151e-18,42
7,9,1.315633958335466e-16,5.7676276148060365e-18,34
7,10,1.4686769682979177e-16,6.016676462059111e-18,29
7,11,1.603808911901485e-16,6.141901245593779e-18,26
7,12,1.682232856909575e-16,6.198287011394747e-18,27
7,13,1.6850421553208121e-16,6.1976135246042346e-18,30
